ID,Name,Grad,Schule,Unterschule,Kategorie,Beschreibung,Alchemist,Antipaladin,Barde,Druide,Hexe,Hexenmeister,Inquisitor,Kampfmagus,Magier,Kleriker,Mystiker,Paktmagier,Paladin,Waldläufer,Blutwüter,Schamane,Jäger,Regelwerk,Seite
555,"<a href=""http://prd.5footstep.de/Permalink?page_id=555"" target=""_blank"">Ablenkung</a>","Alchemist 6,Kampfmagus 6,Hexenmeister/Magier 6,Barde 5",Illusion,"Einbildung,Fehlgefühl",,Macht dich unsichtbar und erschafft einen illusionären Doppelgänger.,6,,5,,,6,,6,6,,,,,,,,,Grundregelwerk,241
556,"<a href=""http://prd.5footstep.de/Permalink?page_id=556"" target=""_blank"">Abschirmung</a>",Hexenmeister/Magier 8,Illusion,Fehlgefühl,,Illusion schirmt einen Bereich vor Ausspähung und normaler Beobachtung ab.,,,,,,8,,,8,,,,,,,,,Grundregelwerk,241
557,"<a href=""http://prd.5footstep.de/Permalink?page_id=557"" target=""_blank"">Abstoßung</a>","Paktmagier 5,Kleriker 7,Hexenmeister/Magier 6,Inquisitor 6",Bannzauber,,,&lt;sup&gt;F&lt;/sup&gt;Kreaturen können sich dir nicht nähern.,,,,,,6,6,,6,7,,5,,,,,,Grundregelwerk,242
558,"<a href=""http://prd.5footstep.de/Permalink?page_id=558"" target=""_blank"">Alarm</a>","Inquisitor 1,Paktmagier 1,Waldläufer 1,Hexenmeister/Magier 1,Barde 1,Jäger 1",Bannzauber,,,Schützt einen Bereich 2 Stunden/Stufe.,,,1,,,1,1,,1,,,1,,1,,,1,Grundregelwerk,242
559,"<a href=""http://prd.5footstep.de/Permalink?page_id=559"" target=""_blank"">Albtraum</a>","Barde 5,Alchemist 5,Hexenmeister/Magier 5",Illusion,Phantom,"Geistesbeeinflussung,Böses","Schickt eine Nachricht, die 1W10 Schaden verursacht und erschöpft.",5,,5,,,5,,,5,,,,,,,,,Grundregelwerk,242
560,"<a href=""http://prd.5footstep.de/Permalink?page_id=560"" target=""_blank"">Anderen schützen</a>","Inquisitor 2,Kleriker 2,Paladin 2",Bannzauber,,,"&lt;sup&gt;F&lt;/sup&gt;Du erleidest die Hälfte des Schadens, den das Ziel erleidet.",,,,,,,2,,,2,,,2,,,,,Grundregelwerk,243
561,"<a href=""http://prd.5footstep.de/Permalink?page_id=561"" target=""_blank"">Ansteckung</a>","Blutwüter 4,Kleriker 3,Jäger 3,Druide 3,Antipaladin 3,Hexenmeister/Magier 4",Nekromantie,,"Böses,Krankheit",Infiziert Ziel mit ausgewählter Krankheit.,,3,,3,,4,,,4,3,,,,,4,,3,Grundregelwerk,243
562,"<a href=""http://prd.5footstep.de/Permalink?page_id=562"" target=""_blank"">Antimagisches Feld</a>","Kleriker 8,Hexenmeister/Magier 6",Bannzauber,,,Hebt Magie innerhalb von 3m auf.,,,,,,6,,,6,8,,,,,,,,Grundregelwerk,243
563,"<a href=""http://prd.5footstep.de/Permalink?page_id=563"" target=""_blank"">Antipathie</a>","Hexe 8,Paktmagier 6,Druide 9,Hexenmeister/Magier 8",Verzauberung,Zwang,"Gefühl,Geistesbeeinflussung",Von dem Zauber betroffener Ort oder Gegenstand vertreibt manche Kreaturen.,,,,9,8,8,,,8,,,6,,,,,,Grundregelwerk,243
564,"<a href=""http://prd.5footstep.de/Permalink?page_id=564"" target=""_blank"">Arkane Spiegelung</a>","Barde 5,Hexenmeister/Magier 5",Illusion,Fehlgefühl,,"Wie Scheingelände, plus Gebäude.",,,5,,,5,,,5,,,,,,,,,Grundregelwerk,244
565,"<a href=""http://prd.5footstep.de/Permalink?page_id=565"" target=""_blank"">Arkaner Blick</a>","Hexenmeister/Magier 3,Hexe 3,Inquisitor 3,Alchemist 3,Kampfmagus 3",Erkenntnis,,,Du kannst magische Auren wahrnehmen.,3,,,,3,3,3,3,3,,,,,,,,,Grundregelwerk,244
566,"<a href=""http://prd.5footstep.de/Permalink?page_id=566"" target=""_blank"">Mächtiger Arkaner Blick</a>","Hexe 7,Hexenmeister/Magier 7",Erkenntnis,,,"Wie Arkaner Blick, enthüllt aber auch magische Effekte, die auf Kreaturen und Gegenständen liegen.",,,,,7,7,,,7,,,,,,,,,Grundregelwerk,244
567,"<a href=""http://prd.5footstep.de/Permalink?page_id=567"" target=""_blank"">Arkanes Auge</a>","Hexe 4,Alchemist 4,Hexenmeister/Magier 4",Erkenntnis,Ausspähung,,Unsichtbares schwebendes Auge bewegt sich 9m/Runde.,4,,,,4,4,,,4,,,,,,,,,Grundregelwerk,244
568,"<a href=""http://prd.5footstep.de/Permalink?page_id=568"" target=""_blank"">Arkanes Schloss</a>",Hexenmeister/Magier 2,Bannzauber,,,&lt;sup&gt;M&lt;/sup&gt;Verschließt eine Pforte oder Truhe auf magische Weise.,,,,,,2,,,2,,,,,,,,,Grundregelwerk,244
569,"<a href=""http://prd.5footstep.de/Permalink?page_id=569"" target=""_blank"">Arkanes Siegel</a>","Schamane 0,Hexe 0,Paktmagier 0,Kampfmagus 0,Hexenmeister/Magier 0",Allgemein,,,Schreibt deine persönliche Rune auf ein Objekt oder eine Kreatur. (sichtbar oder unsichtbar),,,,,0,0,,0,0,,,0,,,,0,,Grundregelwerk,245
570,"<a href=""http://prd.5footstep.de/Permalink?page_id=570"" target=""_blank"">Astrale Projektion</a>","Hexe 9,Kleriker 9,Hexenmeister/Magier 9",Nekromantie,,,&lt;sup&gt;M&lt;/sup&gt;Projiziert dich und deine Gefährten auf die Astralebene.,,,,,9,9,,,9,9,,,,,,,,Grundregelwerk,245
571,"<a href=""http://prd.5footstep.de/Permalink?page_id=571"" target=""_blank"">Ätherischer Ausflug</a>","Paktmagier 5,Kleriker 7,Hexenmeister/Magier 7",Verwandlung,,,Du wirst 1 Runde/Stufe ätherisch.,,,,,,7,,,7,7,,5,,,,,,Grundregelwerk,245
572,"<a href=""http://prd.5footstep.de/Permalink?page_id=572"" target=""_blank"">Ätherische Gestalten</a>","Kleriker 9,Hexenmeister/Magier 9,Schamane 9",Verwandlung,,,Du kannst mit deinen Gefährten auf die Ätherebene reisen.,,,,,,9,,,9,9,,,,,,9,,Grundregelwerk,245
573,"<a href=""http://prd.5footstep.de/Permalink?page_id=573"" target=""_blank"">Äthertor</a>","Hexe 7,Hexenmeister/Magier 7",Beschwörung,Erschaffung,,Erschafft einen unsichtbaren Durchgang durch eine Barriere.,,,,,7,7,,,7,,,,,,,,,Grundregelwerk,246
574,"<a href=""http://prd.5footstep.de/Permalink?page_id=574"" target=""_blank"">Auf Wasser gehen</a>","Jäger 3,Hexe 3,Kleriker 3,Waldläufer 3,Schamane 3",Verwandlung,,Wasser,Ziel kann auf Wasser wie auf festem Untergrund gehen.,,,,,3,,,,,3,,,,3,,3,3,Grundregelwerk,246
575,"<a href=""http://prd.5footstep.de/Permalink?page_id=575"" target=""_blank"">Aufblitzen</a>","Jäger 0,Barde 0,Druide 0,Kampfmagus 0,Hexenmeister/Magier 0",Hervorrufung,,Licht,Blendet eine Kreatur (-1 auf Angriffswürfe).,,,0,0,,0,,0,0,,,,,,,,0,Grundregelwerk,246
576,"<a href=""http://prd.5footstep.de/Permalink?page_id=576"" target=""_blank"">Auferstehung</a>","Hexe 8,Kleriker 7,Schamane 8",Beschwörung,Heilung,,Erweckt ein totes Ziel vollständig wieder zum Leben.,,,,,8,,,,,7,,,,,,8,,Grundregelwerk,246
577,"<a href=""http://prd.5footstep.de/Permalink?page_id=577"" target=""_blank"">Aufforderung</a>","Hexe 8,Hexenmeister/Magier 8",Verzauberung,Zwang,Geistesbeeinflussung,"Wie Verständigung, du kannst aber auch eine Einflüsterung mit senden.",,,,,8,8,,,8,,,,,,,,,Grundregelwerk,246
578,"<a href=""http://prd.5footstep.de/Permalink?page_id=578"" target=""_blank"">Auflösung</a>","Kampfmagus 6,Hexenmeister/Magier 6",Verwandlung,,,Lässt eine Kreatur oder Gegenstand verschwinden.,,,,,,6,,6,6,,,,,,,,,Grundregelwerk,247
579,"<a href=""http://prd.5footstep.de/Permalink?page_id=579"" target=""_blank"">Aufspüren</a>","Schamane 8,Hexe 8,Paktmagier 6,Kleriker 8,Hexenmeister/Magier 8",Erkenntnis,,,Enthüllt die genaue Position einer Kreatur oder eines Gegenstands.,,,,,8,8,,,8,8,,6,,,,8,,Grundregelwerk,247
580,"<a href=""http://prd.5footstep.de/Permalink?page_id=580"" target=""_blank"">Ausbessern</a>","Schamane 0,Barde 0,Jäger 0,Kleriker 0,Druide 0,Hexenmeister/Magier 0",Verwandlung,,,Kleinere Reparaturen an einem Gegenstand.,,,0,0,,0,,,0,0,,,,,,0,0,Grundregelwerk,247
